City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Teahupoo,PF,74.53,light rain,-17.8333,-149.2667,Vanira Lodge
314,Samarai,PG,79.93,broken clouds,-10.6167,150.6667,Nuli Sapi
315,Kantunilkin,MX,74.23,few clouds,21.0917,-87.45,Posada Paraiso
318,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
319,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
321,Kuala Terengganu,MY,87.75,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
322,Flinders,AU,70.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
324,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
326,Ploemeur,FR,71.82,clear sky,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
328,Kabinda,CD,70.39,broken clouds,-6.1333,24.4833,Village Mianda Mutole
330,Lantawan,PH,83.89,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
331,Lalmohan,BD,86.07,broken clouds,22.3384,90.7419,Arifur Rahman Miraj
332,Esna,EG,78.82,few clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
333,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
334,Kavieng,PG,83.8,few clouds,-2.5744,150.7967,Nusa Island Retreat
335,Mangrol,IN,82.98,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
338,Cururupu,BR,74.39,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
340,Ojinaga,MX,93.42,clear sky,29.5667,-104.4167,Suites Las Palmas
343,Tongchuan,CN,82.94,broken clouds,35.0806,109.0897,Tongchuan Hotel
344,Dillon,US,75.18,broken clouds,34.4166,-79.3712,Dillon Express Inn
345,Jalu,LY,74.41,clear sky,29.0331,21.5482,صاحبة الفخامة
349,Amberley,US,79.36,few clouds,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
350,Westport,US,74.79,scattered clouds,41.1415,-73.3579,The Westport Inn
352,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
353,Manokwari,ID,78.64,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
354,Galle,LK,81.81,broken clouds,6.0367,80.217,Amangalla
356,Indramayu,ID,82.65,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
357,Buchanan,LR,75.43,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
359,Arraial Do Cabo,BR,70.65,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
363,Kashi,CN,81.61,clear sky,39.4547,75.9797,帕米尔青年旅舍
365,Ciego De Avila,CU,75.97,overcast clouds,21.84,-78.7619,Hotel Ciego de Ávila
366,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
370,Sao Filipe,CV,75.27,clear sky,14.8961,-24.4956,Hotel Xaguate
372,Cerritos,US,83.95,broken clouds,33.8583,-118.0648,Sheraton Cerritos Hotel
374,Rockland,US,74.44,overcast clouds,41.1668,-74.0496,National Camp Association
377,Piedra Gorda,PR,79.23,few clouds,18.4341,-66.8877,Centro comunal Piedra Gorda
378,Hoi An,VN,94.96,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
379,Hamilton,US,80.04,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
380,Kampot,KH,78.85,scattered clouds,10.6167,104.1833,Two Moons Hotel
381,Arrifes,PT,70.23,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
382,Boguchany,RU,72.03,broken clouds,58.3814,97.4531,Uyut
383,Pali,IN,89.15,broken clouds,25.7667,73.3333,HOTEL THE AMBA VILAS
385,Calabozo,VE,75.02,overcast clouds,8.9242,-67.4293,Hotel Giardini
386,Todos Santos,MX,85.05,clear sky,23.45,-110.2167,Hotel California Todos Santos
389,Sterling,US,73.42,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
391,Mao,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
392,Centerville,US,78.12,scattered clouds,39.6284,-84.1594,"Country Inn & Suites by Radisson, Dayton South, OH"
394,Ilhabela,BR,74.25,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
397,Oktyabrskiy,RU,70.66,overcast clouds,54.4815,53.471,Гостиница Октябрьская
401,West Plains,US,88.63,scattered clouds,36.7281,-91.8524,West Plains Motel
402,Tripoli,LY,76.12,clear sky,32.8752,13.1875,Al Waddan Hotel
403,Nelson Bay,AU,72.1,clear sky,-32.7167,152.15,Mantra Nelson Bay
405,Sorong,ID,82.35,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
406,Tiarei,PF,80.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
408,Kolondieba,ML,72.61,light rain,11.0882,-6.8926,Hotel Dakan
