City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
276,Rocha,-34.4833,-54.3333,46.36,84,100,18.77,UY,overcast clouds
277,Vaitape,-16.5167,-151.75,77.74,64,39,20.4,PF,scattered clouds
278,Tarnogskiy Gorodok,60.4997,43.5761,61.72,69,17,3.11,RU,few clouds
279,Richards Bay,-28.783,32.0377,59.47,91,14,6.55,ZA,few clouds
280,Kuching,1.55,110.3333,80.82,83,20,3.44,MY,few clouds
281,Banjar,-8.19,114.9675,85.91,66,26,1.59,ID,scattered clouds
282,Chase,50.8165,-119.6857,64.04,77,67,3.71,CA,broken clouds
283,Zhongxing,33.7039,118.6792,84.42,80,93,3.04,CN,overcast clouds
284,Aquiraz,-3.9014,-38.3911,80.69,81,19,13.71,BR,few clouds
285,Leningradskiy,69.3833,178.4167,40.91,86,100,7.54,RU,light rain
286,San Borja,-14.8167,-66.85,70.75,97,67,2.57,BO,broken clouds
287,Castro,-24.7911,-50.0119,63.32,84,100,7.7,BR,overcast clouds
288,Grand-Santi,4.25,-54.3833,73.08,97,88,1.88,GF,overcast clouds
289,Le Port,-20.9373,55.2919,66.25,76,16,6.2,RE,few clouds
290,Dwarka,22.2394,68.9678,82.98,82,23,24.81,IN,few clouds
291,Tateyama,34.9833,139.8667,79.11,89,75,6.91,JP,light rain
292,Saint-Francois,46.4154,3.9054,51.24,93,0,2.3,FR,clear sky
293,Coahuayana,18.7333,-103.6833,76.66,90,100,3.76,MX,overcast clouds
294,Pangnirtung,66.1451,-65.7125,48.15,66,97,2.01,CA,overcast clouds
295,Ponta Do Sol,32.6667,-17.1,68.72,75,29,6.76,PT,scattered clouds
296,Lata,40.1629,-8.3327,60.87,80,61,1.9,PT,broken clouds
297,Mahmudia,45.0833,29.0833,66.4,62,1,11.14,RO,clear sky
298,Haicheng,40.8516,122.7475,79.18,78,65,4.38,CN,broken clouds
299,Bealanana,-14.55,48.7333,54.86,89,85,4.5,MG,overcast clouds
300,Bonthe,7.5264,-12.505,75.63,90,68,6.06,SL,moderate rain
301,Erzin,36.9559,36.2,75.6,78,13,1.83,TR,few clouds
302,Ghogha,21.6833,72.2833,86.11,79,40,9.22,IN,haze
303,Ingham,42.6,-84.3833,71.78,91,100,4.61,US,overcast clouds
304,Buala,-8.145,159.5921,84.02,71,89,9.42,SB,light rain
305,Sicamous,50.8331,-118.9856,69.85,59,49,0.92,CA,scattered clouds
306,Safranbolu,41.2508,32.6942,63.61,84,1,2.04,TR,clear sky
307,Waipawa,-41.4122,175.5153,49.87,68,4,19.84,NZ,clear sky
308,Holly Hill,29.2436,-81.0376,79.02,94,75,3.44,US,broken clouds
309,Itoman,26.1247,127.6694,90.37,82,75,10.36,JP,broken clouds
310,Biabou,13.2,-61.1333,80.15,84,99,18.12,VC,overcast clouds
311,Manta,-0.95,-80.7333,69.58,88,100,4.61,EC,overcast clouds
312,Mahebourg,-20.4081,57.7,70.09,73,40,11.5,MU,scattered clouds
313,Teahupoo,-17.8333,-149.2667,74.53,76,76,23.6,PF,light rain
314,Samarai,-10.6167,150.6667,79.93,84,78,16.06,PG,broken clouds
315,Kantunilkin,21.0917,-87.45,74.23,89,23,2.35,MX,few clouds
316,Qasigiannguit,68.8193,-51.1922,46.65,93,46,2.08,GL,scattered clouds
317,Fairbanks,64.8378,-147.7164,68.34,73,75,4.61,US,broken clouds
318,Mount Isa,-20.7333,139.5,76.77,31,0,5.75,AU,clear sky
319,Mahon,39.8885,4.2658,73.96,83,0,3.44,ES,clear sky
320,Tabasalu,59.4303,24.5331,57.69,94,75,12.66,EE,broken clouds
321,Kuala Terengganu,5.3302,103.1408,87.75,79,40,5.99,MY,scattered clouds
322,Flinders,-34.5833,150.8552,70.18,36,0,8.99,AU,clear sky
323,Puerto Baquerizo Moreno,-0.9,-89.6,69.37,79,60,13.89,EC,broken clouds
324,Cayenne,4.9333,-52.3333,81.09,1,0,2.3,GF,clear sky
325,Muros,42.7762,-9.0603,65.16,91,29,2.33,ES,scattered clouds
326,Ploemeur,47.7333,-3.4333,71.82,56,0,10.36,FR,clear sky
327,Necochea,-38.5473,-58.7368,39.34,69,21,13.18,AR,few clouds
328,Kabinda,-6.1333,24.4833,70.39,41,84,5.12,CD,broken clouds
329,Ikongo,-21.8833,47.4333,61.11,96,94,1.97,MG,light rain
330,Lantawan,10.6167,123.9833,83.89,69,99,2.48,PH,overcast clouds
331,Lalmohan,22.3384,90.7419,86.07,76,76,22.06,BD,broken clouds
332,Esna,25.2934,32.554,78.82,31,12,8.81,EG,few clouds
333,Vila Velha,-20.3297,-40.2925,73.35,90,75,4.61,BR,broken clouds
334,Kavieng,-2.5744,150.7967,83.8,73,18,14.2,PG,few clouds
335,Mangrol,21.1167,70.1167,82.98,81,45,18.97,IN,scattered clouds
336,Mendota,36.7536,-120.3816,95.27,19,0,10.45,US,clear sky
337,Birao,10.2849,22.7882,69.6,95,81,4.12,CF,light rain
338,Cururupu,-1.8283,-44.8683,74.39,93,75,1.61,BR,broken clouds
339,Skibbereen,51.55,-9.2667,64.11,93,99,7.18,IE,overcast clouds
340,Ojinaga,29.5667,-104.4167,93.42,35,0,10.36,MX,clear sky
341,Coquimbo,-29.9533,-71.3436,49.73,76,0,9.22,CL,clear sky
342,Conceicao Da Barra,-18.5933,-39.7322,68.99,95,53,5.06,BR,broken clouds
343,Tongchuan,35.0806,109.0897,82.94,38,71,10.0,CN,broken clouds
344,Dillon,34.4166,-79.3712,75.18,92,52,6.38,US,broken clouds
345,Jalu,29.0331,21.5482,74.41,58,0,7.78,LY,clear sky
